SRC_ID,DST_ID,TRACE_IDX,TX_ANTENNA_ID1,TX_SECTOR_ID1,TX_AWV_ID1,TX_ANTENNA_ID2,TX_SECTOR_ID2,TX_AWV_ID2,TX_ANTENNA_ID3,TX_SECTOR_ID3,TX_AWV_ID3,TX_ANTENNA_ID4,TX_SECTOR_ID4,TX_AWV_ID4,RX_ANTENNA_ID1,RX_SECTOR_ID1,RX_AWV_ID1,RX_ANTENNA_ID2,RX_SECTOR_ID2,RX_AWV_ID2,RX_ANTENNA_ID3,RX_SECTOR_ID3,RX_AWV_ID3,RX_ANTENNA_ID4,RX_SECTOR_ID4,RX_AWV_ID4,CAPACITY,BTRAIN
1,2,205342,1,124,255,2,99,255,3,125,255,4,81,255,1,142,255,2,125,255,3,126,255,4,131,255,16.1159294522311,0
1,2,205343,1,125,255,2,99,255,3,124,255,4,81,255,1,142,255,2,126,255,3,143,255,4,131,255,16.5646704096696,0
1,2,205344,1,124,255,2,99,255,3,125,255,4,82,255,1,143,255,2,125,255,3,142,255,4,115,255,16.2182675544056,0
1,2,205345,1,125,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,16.3641112444916,0
1,2,205346,1,125,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,15.4492775040909,0
1,2,205347,1,124,255,2,99,255,3,125,255,4,81,255,1,143,255,2,125,255,3,142,255,4,115,255,14.8980968558179,0
1,2,205348,1,124,255,2,99,255,3,125,255,4,81,255,1,143,255,2,126,255,3,142,255,4,115,255,14.979458529549,0
1,2,205349,1,125,255,2,99,255,3,124,255,4,81,255,1,143,255,2,126,255,3,142,255,4,115,255,14.7936236063273,0
1,2,205350,1,109,255,2,99,255,3,125,255,4,81,255,1,142,255,2,126,255,3,143,255,4,115,255,14.3429963830908,0
1,2,205351,1,124,255,2,99,255,3,125,255,4,81,255,1,142,255,2,126,255,3,143,255,4,115,255,13.4073503308689,0
1,2,205352,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,13.0275939764108,0
1,2,205353,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,13.1647806326177,0
1,2,205354,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,13.1889352503451,0
1,2,205355,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,125,255,3,143,255,4,115,255,13.2349458466533,0
1,2,205356,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,141,255,3,143,255,4,115,255,13.8673698613226,0
1,2,205357,1,109,255,2,99,255,3,124,255,4,81,255,1,142,255,2,141,255,3,143,255,4,115,255,13.7356114296582,0
1,2,205358,1,109,255,2,99,255,3,125,255,4,81,255,1,143,255,2,141,255,3,142,255,4,115,255,13.6962375359475,0
1,2,205359,1,125,255,2,99,255,3,126,255,4,81,255,1,143,255,2,141,255,3,142,255,4,115,255,13.2644247135848,0
1,2,205360,1,126,255,2,99,255,3,109,255,4,81,255,1,143,255,2,141,255,3,142,255,4,115,255,13.5252692623757,0
